cwe|description
CWE-116| связана с недостатком механизма кодирование или экранирование выходных данных
CWE-1188| связана с недостатком механизма контроля инициализируемых ресурсов
CWE-119| связана с выходом операции за допустимые границы буфера данных
CWE-120| связана с недостатком механизма проверки размера копируемых данных
CWE-121| связана с переполнением буфера стека данных
CWE-125| связана с чтением за допустимыми границами буфера данных
CWE-152| связана с недостатком при обработке макросов
CWE-189| связана с ошибкой в обработке чисел
CWE-190| связана с целочисленным переполнением значения
CWE-19| связана с ошибкой при обработке данных
CWE-200| связана с раскрытием информации
CWE-20| связана с недостатком механизма проверки вводимых данных
CWE-22| связана с некорректным ограничением имени пути к каталогу
CWE-254| связана с недостатках элементов безопасности
CWE-264| связана с недостатком механизма контроля привилегий и средств управления доступом
CWE-269| связана с недостатком механизма управлением привилегиями
CWE-275| связана с недостатками механизма обработки разрешений
CWE-276| связана с недостатком механизма стандартных разрешений
CWE-284| связана с недостатками контроля доступа
CWE-287| связана с недостатком механизма аутентификации
CWE-305| связана с обходом аутентификации
CWE-306| связана с отстутствием механизма аутентификации для критичной функции
CWE-310| связана с недостатками в механизме криптографической защиты
CWE-311| связана с недостатком механизма шифрования секретных данных
CWE-320| связана с ошибками управления криптографическими ключами
CWE-327| связана с недостатками используемых криптографических алгоритмов
CWE-330| связана с недостатком механизма выбора случайного значения 
CWE-331| связана с недостатком в энтропии в выборе PIN
CWE-346| связана с недостатком в механизме подтверждения источника
CWE-347| связана с недостатком механизма проверки криптографической подписи
CWE-352| связана с недостатками механизмов противодействия межсайтовой фальсификации
CWE-358| связана с некорректной реализацией проверки безопасности стандартных элементов системы
CWE-362| связана с одновременным выполнением с использованием общего ресурса с неправильной синхронизацией
CWE-369| связана с делением на ноль
CWE-384| связана с недостатком механизма фиксации сеанса
CWE-399| связана с ошибкой механизма управления ресурсами системы
CWE-400| связана с ошибкой механизма контроля расходуемых ресурсов
CWE-404| связана с некорректным освобождением ресурсов
CWE-415| связана с повторным освобождением области памяти
CWE-416| связана с использованием области памяти после её освобождения
CWE-444| связана с недостатком в интерпретации HTTP-запросов
CWE-476| связана с разыменованием нулевого указателя
CWE-502| связана с восстановлением в памяти недостоверной структуры данных
CWE-522| связана с недостатком механизма хранения регистрационных данных
CWE-59| связана с неверным определением ссылки перед доступом к файлу
CWE-601| связана с недостатком механизма контролем за переадресации на вредоносные сайты
CWE-617| связана с недостатком использования функции assert()
CWE-640| связана с недостатком механизма восстановления пароля
CWE-668| связана с раскрытием информации в ошибочной области данных
CWE-670| связана с недостатком реализации потока управления
CWE-674| связана с выходом операции за допустимые границы буфера данных
CWE-693| связана с недостатком механизма защиты информации
CWE-704| связана с некорректным преобразованием типов
CWE-707| связана с недостатком механизма нейтрализации данных
CWE-74| связана с неверной нейтрализация особых элементов в выходных данных
CWE-754| связана с недостаточной проверкой необычных или исключительных состояний
CWE-755| связана с недостатком механизма обработки исключений
CWE-770| связана с недостатком механизма распределения ресурсов
CWE-77| связана с недостатками принятых мер по чистке данных на управляющем уровне
CWE-787| связана с выходом операции за допустимые границы буфера данных
CWE-78| связана с отсутствием мер по нейтрализации специальных элементов
CWE-798| связана с ошибкой в кодировании регистрационных данных
CWE-79| связана с недостатками используемых мер по защите структур веб-страницы
CWE-835| связана с бесконечной работой цикла
CWE-843| связана с доступом к данным без контроля типов
CWE-862| связана с отсутствием механизма авторизации
CWE-89| связана с недостатком механизма защиты структуры от SQL-инъекции
CWE-908| связана с использованием неинициализированных ранее переменных
CWE-909| связана с отсутствием инициализации ресурсов
CWE-918| связана с фальсификацией запроса на стороне сервера
CWE-94| связана с недостатком механизма управления генерацией кода
